Mes,A¤o,Estado Origen,Estado Destino,Ciudad Origen,Ciudad Destino,Compa¤ia Transportadora,Tipo de Transporte,Tipo de combustible usado,Tipo de Movimiento,Costo(Pesos),Carga Maxima(TON),Rendimiento por litro,Costo del diesel,Tiempo en Transito,,
Agosto,2015,NL,EM,APODACA,TOLUCA,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,7405,10,3.5,12.24,18,,
Agosto,2015,NL,QO,APODACA,QUERETARO,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,6502,10,3.5,12.24,10,,
Agosto,2015,NL,GT,APODACA,LEON,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,7216,10,3.5,12.24,10,,
Agosto,2015,NL,CO,APODACA,RAMOS ARIZPE,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,3200,10,3.5,12.24,2,,
Agosto,2015,NL,NL,APODACA,APODACA,FLETES Y ACARREOS EL BENJAS,RABON,Diesel,Sencillo,1000,10,3.5,12.24,1,,
Agosto,2015,NL,NL,APODACA,MONTERREY,FLETES Y ACARREOS EL BENJAS,RABON,Diesel,Sencillo,1300,10,3.5,12.24,1,,
Agosto,2015,NL,NL,MONTERREY,APODACA,FLETES Y ACARREOS EL BENJAS,RABON,Diesel,Sencillo,1500,10,3.5,12.24,1,,
Agosto,2015,NL,NL,APODACA,APODACA,CARRIER 1,RABON,Diesel,Redondo,3800,10,3.5,12.24,1,,
Agosto,2015,NL,NL,APODACA,MONTERREY,CARRIER 1,RABON,Diesel,Redondo,30000,10,3.5,12.24,1,,
Agosto,2015,NL,NL,MONTERREY,APODACA,CARRIER 1,RABON,Diesel,Redondo,2500,10,3.5,12.24,1,,
Agosto,2015,NL,CO,APODACA,RAMOS ARIZPE,FLETES Y ACARREOS EL BENJAS,RABON,Diesel,Sencillo,3800,10,3.5,12.24,2,,
Agosto,2015,NL,CO,APODACA,RAMOS ARIZPE,CARRIER 1,RABON,Diesel,Sencillo,4000,10,3.5,12.24,2,,
Agosto,2015,NL,QO,APODACA,QUERETARO,JOSE JUAN LEDESMA AVILA,RABON,Diesel,Sencillo,6101,10,3.5,12.24,10,,
Agosto,2015,NL,QO,APODACA,QUERETARO,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,7652,15,3,12.24,10,,
Agosto,2015,NL,TM,APODACA,NUEVO LAREDO,ROSARIO URIBE SEGURA,THORTON,Diesel,Sencillo,4000,15,3,12.24,3,,
Agosto,2015,QO,QO,QUERETARO,QUERETARO,Miguel Dophe Salinas,THORTON,Diesel,Sencillo,1900,15,3,12.24,1.5,,
Agosto,2015,QO,QO,QUERETARO,QUERETARO,ROSARIO URIBE SEGURA,THORTON,Diesel,Sencillo,1800,15,3,12.24,1.5,,
Agosto,2015,EM,NL,TOLUCA,APODACA,CARRIER 1,RABON,Diesel,Sencillo,13000,10,3.5,12.24,13,,
Agosto,2015,NL,NL,MONTERREY,APODACA,CARRIER 2,RABON,Diesel,Sencillo,1800,10,3.5,12.24,1,,
Agosto,2015,NL,NL,MONTERREY,MONTERREY,FLETES Y ACARREOS EL BENJAS,RABON,Diesel,Sencillo,1700,10,3.5,12.24,1,,
Agosto,2015,NL,CO,APODACA,RAMOS ARIZPE,CARRIER 2,RABON,Diesel,Sencillo,3900,10,3.5,12.24,2,,
Agosto,2015,NL,CO,APODACA,RAMOS ARIZPE,CARRIER 3,RABON,Diesel,Sencillo,3500,10,3.5,12.24,2,,
Agosto,2015,JC,QO,GUADALAJARA,QUERETARO,JOSE JUAN LEDESMA AVILA,RABON,Diesel,Sencillo,4200,10,3.5,12.24,6,,
Agosto,2015,JC,QO,GUADALAJARA,QUERETARO,Miguel Dophe Salinas,THORTON,Diesel,Sencillo,6800,15,3,12.24,6,,
Agosto,2015,JC,QO,GUADALAJARA,QUERETARO,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,6000,15,3,12.24,6,,
Agosto,2015,JC,QO,GUADALAJARA,QUERETARO,CARRIER 1,THORTON,Diesel,Sencillo,9700,15,3,12.24,6,,
Agosto,2015,PL,QO,PUEBLA,QUERETARO,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,5800,15,3,12.24,5,,
Agosto,2015,PL,QO,PUEBLA,QUERETARO,TRANSPORTES MENDOZA HERMANOS,THORTON,Diesel,Sencillo,8567,15,3,12.24,5,,
Agosto,2015,MS,EM,CUERNAVACA,TOLUCA,TRANSPORTES MENDOZA HERMANOS,THORTON,Diesel,Sencillo,4850,15,3,12.24,2,,
Agosto,2015,TM,QO,NUEVO LAREDO,QUERETARO,JOSE JUAN LEDESMA AVILA,RABON,Diesel,Sencillo,6701,10,3.5,12.24,14,,
Agosto,2015,TM,QO,NUEVO LAREDO,QUERETARO,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,15200,15,3,12.24,14,,
Agosto,2015,DF,NL,CIUDAD DE MEXICO,MONTERREY,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,7705,10,3.5,12.24,20,,
Agosto,2015,DF,EM,CIUDAD DE MEXICO,TOLUCA,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,2900,10,3.5,12.24,2,,
Agosto,2015,DF,NL,CIUDAD DE MEXICO,MONTERREY,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,7705,10,3.5,12.24,20,,
Agosto,2015,DF,TM,CIUDAD DE MEXICO,CD. VICTORIA,JOSE JUAN LEDESMA AVILA,RABON,Diesel,Sencillo,9501,10,3.5,12.24,11,,
Agosto,2015,DF,TM,CIUDAD DE MEXICO,NUEVO LAREDO,JOSE JUAN LEDESMA AVILA,RABON,Diesel,Sencillo,9998,10,3.5,12.24,16,,
Agosto,2015,DF,DF,CIUDAD DE MEXICO,CIUDAD DE MEXICO,JOSE JUAN LEDESMA AVILA,RABON,Diesel,Sencillo,1150,10,3.5,12.24,1,,
Agosto,2015,DF,DF,CIUDAD DE MEXICO,CIUDAD DE MEXICO,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,1800,15,3,12.24,1,,
Agosto,2015,DF,NL,CIUDAD DE MEXICO,MONTERREY,JOSE JUAN LEDESMA AVILA,RABON,Diesel,Sencillo,8500,10,3.5,12.24,20,,
Agosto,2015,DF,QO,CIUDAD DE MEXICO,QUERETARO,JOSE JUAN LEDESMA AVILA,RABON,Diesel,Sencillo,2599,10,3.5,12.24,3,,
Agosto,2015,DF,EM,CIUDAD DE MEXICO,TOLUCA,JOSE JUAN LEDESMA AVILA,RABON,Diesel,Sencillo,3000,10,3.5,12.24,2,,
Agosto,2015,DF,TM,CIUDAD DE MEXICO,NUEVO LAREDO,JOSE JUAN LEDESMA AVILA,RABON,Diesel,Sencillo,9998,10,3.5,12.24,16,,
Agosto,2015,DF,TM,CIUDAD DE MEXICO,CD. VICTORIA,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,11634,15,3,12.24,11,,
Agosto,2015,DF,NL,CIUDAD DE MEXICO,MONTERREY,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,9500,15,3,12.24,20,,
Agosto,2015,DF,QO,CIUDAD DE MEXICO,QUERETARO,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,7200,15,3,12.24,3,,
Agosto,2015,DF,EM,CIUDAD DE MEXICO,TOLUCA,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,3514,15,3,12.24,2,,
Agosto,2015,NL,EM,MONTERREY,TOLUCA,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,7405,10,3.5,12.24,18,,
Agosto,2015,NL,QO,MONTERREY,QUERETARO,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,6502,10,3.5,12.24,10,,
Agosto,2015,NL,GT,MONTERREY,LEON,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,7214,10,3.5,12.24,10,,
Agosto,2015,NL,CO,APODACA,RAMOS ARIZPE,CARRIER 4,RABON,Diesel,Sencillo,1750,10,3.5,12.24,2,,
Agosto,2015,NL,CO,APODACA,RAMOS ARIZPE,CARRIER 5,RABON,Diesel,Sencillo,2600,10,3.5,12.24,2,,
Agosto,2015,NL,CO,APODACA,RAMOS ARIZPE,CARRIER 6,RABON,Diesel,Sencillo,4500,10,3.5,12.24,2,,
Agosto,2015,NL,TM,APODACA,NUEVO LAREDO,Miguel Dophe Salinas,THORTON,Diesel,Sencillo,4200,15,3,12.24,3,,
Agosto,2015,NL,BJ,APODACA,MEXICALI,Miguel Dophe Salinas,THORTON,Diesel,Sencillo,36500,15,3,12.24,44,,
Agosto,2015,NL,TM,APODACA,NUEVO LAREDO,CARRIER 1,THORTON,Diesel,Sencillo,5200,15,3,12.24,3,,
Agosto,2015,NL,BJ,APODACA,MEXICALI,ROSARIO URIBE SEGURA,THORTON,Diesel,Sencillo,36350,15,3,12.24,44,,
Agosto,2015,HG,QO,PACHUCA,QUERETARO,JOSE JUAN LEDESMA AVILA,RABON,Diesel,Sencillo,3200,10,3.5,12.24,3.5,,
Agosto,2015,HG,QO,PACHUCA,QUERETARO,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,4000,15,3,12.24,3.5,,
Agosto,2015,PL,QO,PUEBLA,QUERETARO,TRANSPORTES MENDOZA HERMANOS,RABON,Diesel,Sencillo,7500,10,3.5,12.24,5,,
Agosto,2015,PL,QO,PUEBLA,QUERETARO,JOSE JUAN LEDESMA AVILA,RABON,Diesel,Sencillo,4501,10,3.5,12.24,5,,
Agosto,2015,PL,QO,PUEBLA,QUERETARO,Miguel Dophe Salinas,RABON,Diesel,Sencillo,4800,10,3.5,12.24,5,,
Agosto,2015,PL,QO,PUEBLA,QUERETARO,ROSARIO URIBE SEGURA,RABON,Diesel,Sencillo,4800,10,3.5,12.24,5,,
Agosto,2015,PL,QO,PUEBLA,QUERETARO,JOSE JUAN LEDESMA AVILA,THORTON,Diesel,Sencillo,5500,15,3,12.24,5,,
Agosto,2015,PL,QO,PUEBLA,QUERETARO,TRANSPORTES MENDOZA HERMANOS,THORTON,Diesel,Sencillo,8573,15,3,12.24,5,,
Agosto,2015,QO,AG,QUERETARO,AGUASCALIENTES,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,3502,10,3.5,12.24,4.5,,
Agosto,2015,QO,GT,QUERETARO,CELAYA,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,1650,10,3.5,12.24,1.5,,
Agosto,2015,QO,CH,QUERETARO,CHIHUAHUA,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,11906,10,3.5,12.24,25,,
Agosto,2015,QO,QO,QUERETARO,QUERETARO,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,1100,10,3.5,12.24,1,,
Agosto,2015,QO,MS,QUERETARO,CUERNAVACA,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,3800,10,3.5,12.24,5,,
Agosto,2015,QO,NL,QUERETARO,MONTERREY,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,6501,10,3.5,12.24,11,,
Agosto,2015,QO,JC,QUERETARO,GUADALAJARA,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,3800,10,3.5,12.24,5.5,,
Agosto,2015,QO,SO,QUERETARO,HERMOSILLO,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,17998,10,3.5,12.24,38,,
Agosto,2015,QO,EM,QUERETARO,TOLUCA,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,3000,10,3.5,12.24,3.5,,
Agosto,2015,QO,EM,QUERETARO,TOLUCA,CARRIER 1,RABON,Diesel,Sencillo,3600,10,3.5,12.24,3.5,,
Agosto,2015,QO,NL,QUERETARO,MONTERREY,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,6502,10,3.5,12.24,11,,
Agosto,2015,QO,MN,QUERETARO,MORELIA,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,3000,10,3.5,12.24,3,,
Agosto,2015,QO,PL,QUERETARO,PUEBLA ,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,3751,10,3.5,12.24,5.5,,
Agosto,2015,QO,QO,QUERETARO,QUERETARO,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,900,10,3.5,12.24,1,,
Agosto,2015,QO,CO,QUERETARO,RAMOS ARIZPE,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,5451,10,3.5,12.24,10,,
Agosto,2015,QO,QO,QUERETARO,QUERETARO,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,1200,10,3.5,12.24,1,,
Agosto,2015,QO,SP,QUERETARO,SAN LUIS POTOSI,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,2501,10,3.5,12.24,3,,
Agosto,2015,QO,GT,QUERETARO,SILAO,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,2500,10,3.5,12.24,2.5,,
Agosto,2015,QO,QO,QUERETARO,QUERETARO,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,1000,10,3.5,12.24,1,,
Agosto,2015,QO,EM,QUERETARO,TOLUCA,CARRIER 2,RABON,Diesel,Sencillo,3500,10,3.5,12.24,3.5,,
Agosto,2015,QO,VZ,QUERETARO,VERACRUZ,ARTURO PAYAN AGUILAR,RABON,Diesel,Sencillo,6804,10,3.5,12.24,9.2,,
Agosto,2015,QO,EM,QUERETARO,TOLUCA,CARRIER 3,RABON,Diesel,Sencillo,3750,10,3.5,12.24,3.5,,
