Mes,A¤o,Estado Origen,Estado Destino,Ciudad Origen,Ciudad Destino,Compa¤ia Transportadora,Tipo de Transporte,Tipo de combustible usado,Tipo de Movimiento,Costo(Pesos),Carga Maxima(TON),Rendimiento por litro,Costo del diesel,Tiempo en Transito
Octubre,2015,TM,GT,NUEVO LAREDO,SILAO,CARRIER 3,48FT/53FT,Diesel ,Redondo,25500,22,2.65,12.24,18
Octubre,2015,TM,GT,NUEVO LAREDO,SILAO,CARRIER 4,48FT/53FT,Diesel ,Redondo,26000,22,2.65,12.24,18
Octubre,2015,NL,CO,SANTA CATARINA,RAMOS ARIZPE,CARRIER 1,48FT/53FT,Diesel ,Redondo,3500,22,2.65,12.24,2
Octubre,2015,ZS,AG,ZACATECAS,AGUASCALIENTES,EXP1,48FT/53FT,Diesel ,Sencillo,2500,22,2.65,12.24,2
Octubre,2015,TM,GT,NUEVO LAREDO,SILAO,DX EXPRESS S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,28382,22,2.65,12.24,18
Octubre,2015,TM,SP,NUEVO LAREDO,SAN LUIS POTOSI,DX EXPRESS S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,23641,22,2.65,12.24,14
Octubre,2015,TM,PL,NUEVO LAREDO,PUEBLA,DX EXPRESS S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,38050,22,2.65,12.24,22
Octubre,2015,TM,PL,NUEVO LAREDO,PUEBLA,DX EXPRESS S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,39204,22,2.65,12.24,22
Octubre,2015,TM,MS,NUEVO LAREDO,CUAUTLA,DX EXPRESS S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,39539,22,2.65,12.24,22
Octubre,2015,TM,EM,NUEVO LAREDO,TOLUCA,DX EXPRESS S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,28000,22,2.65,12.24,22
Octubre,2015,TM,QO,NUEVO LAREDO,QUERETARO,DX EXPRESS S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,27244,22,2.65,12.24,18
Octubre,2015,TM,CH,NUEVO LAREDO,CHIHUAHUA,DX EXPRESS S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,33460,22,2.65,12.24,18
Octubre,2015,TM,GT,NUEVO LAREDO,CELAYA,DX EXPRESS S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,28550,22,2.65,12.24,18
Octubre,2015,TM,CO,NUEVO LAREDO,RAMOS ARIZPE,DX EXPRESS S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,15292,22,2.65,12.24,6
Octubre,2015,TM,EM,NUEVO LAREDO,TOLUCA,DX EXPRESS S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,33921,22,2.65,12.24,24
Octubre,2015,TM,GT,NUEVO LAREDO,CELAYA,CARRIER 1,48FT/53FT,Diesel ,Sencillo,12600,22,2.65,12.24,18
Octubre,2015,TM,EM,NUEVO LAREDO,TOLUCA,DX EXPRESS S.A. DE C.V.,3.5 TON,,Redondo,25350,3.5,,,20
Octubre,2015,TM,SP,NUEVO LAREDO,SAN LUIS POTOSI,DX EXPRESS S.A. DE C.V.,3.5 TON,,Redondo,15500,3.5,,,10
