Mes,A¤o,Estado Origen,Estado Destino,Ciudad Origen,Ciudad Destino,Compa¤ia Transportadora,Tipo de Transporte,Tipo de combustible usado,Tipo de Movimiento,Costo(Pesos),Carga Maxima(TON),Rendimiento por litro,Costo del diesel,Tiempo en Transito
Agosto,2015,GT,MS,IRAPUATO,CUERNAVACA,LOGISTICA TNA,3.5 TON,,Sencillo,8500,3.5,,,7
Agosto,2015,GT,AG,GUANAJUATO,AGUASCALIENTES,LOGISTICA TNA,3.5 TON,,Redondo,6200,3.5,,,3
Agosto,2015,GT,AG,GUANAJUATO,AGUASCALIENTES,CARRIER 1,3.5 TON,,Redondo,6000,3.5,,,3
Agosto,2015,GT,AG,GUANAJUATO,AGUASCALIENTES,CARRIER 2,3.5 TON,,Redondo,7050,3.5,,,3
Agosto,2015,GT,JC,GUANAJUATO,GUADALAJARA,LOGISTICA TNA,THORTON,Diesel,Redondo,14395,15,3,12.24,5
Agosto,2015,GT,JC,GUANAJUATO,GUADALAJARA,CARRIER 1,THORTON,Diesel,Redondo,15500,15,3,12.24,5
Agosto,2015,GT,JC,GUANAJUATO,GUADALAJARA,CARRIER 2,THORTON,Diesel,Redondo,16050,15,3,12.24,5
Agosto,2015,GT,MS,GUANAJUATO,CUERNAVACA,LOGISTICA TNA,3.5 TON,,Sencillo,7000,3.5,,,6
Agosto,2015,GT,YN,GUANAJUATO,MERIDA,LOGISTICA TNA,THORTON,Diesel,Sencillo,39500,15,3,12.24,40
Agosto,2015,GT,YN,GUANAJUATO,MERIDA,CARRIER 1,THORTON,Diesel,Sencillo,27050,15,3,12.24,40
Agosto,2015,GT,YN,GUANAJUATO,MERIDA,CARRIER 2,THORTON,Diesel,Sencillo,33500,15,3,12.24,40
Agosto,2015,DF,JC,CIUDAD DE MEXICO,GUADALAJARA,LOGISTICA TNA,THORTON,Diesel,Sencillo,13200,15,3,12.24,9
Agosto,2015,DF,JC,CIUDAD DE MEXICO,GUADALAJARA,CARRIER 1,THORTON,Diesel,Sencillo,15100,15,3,12.24,9
Agosto,2015,EM,JC,TOLUCA,GUADALAJARA,LOGISTICA TNA,3.5 TON,,Sencillo,8500,3.5,,,7
Agosto,2015,EM,JC,TOLUCA,GUADALAJARA,CARRIER 1,THORTON,Diesel,Redondo,16000,15,3,12.24,8
Agosto,2015,EM,JC,TOLUCA,GUADALAJARA,CARRIER 2,THORTON,Diesel,Redondo,15500,15,3,12.24,8
Agosto,2015,EM,JC,TOLUCA,GUADALAJARA,SALVADOR MOYA ARREOLA,THORTON,Diesel,Redondo,16600,15,3,12.24,8
Agosto,2015,CL,QO,MANZANILLO,QUERETARO,HALCON,3.5 TON,,Sencillo,10000,3.5,,,12
Agosto,2015,CL,QO,MANZANILLO,QUERETARO,JC LOGISTICOS,3.5 TON,,Sencillo,12000,3.5,,,12
Agosto,2015,CL,QO,MANZANILLO,QUERETARO,HALCON,RABON,Diesel,Sencillo,14500,10,3.5,12.24,12
Agosto,2015,CL,QO,MANZANILLO,QUERETARO,JC LOGISTICOS,RABON,Diesel,Sencillo,15400,10,3.5,12.24,12
Agosto,2015,CL,QO,MANZANILLO,QUERETARO,JC LOGISTICOS,48FT/53FT,Diesel,Sencillo,19150,22,2.65,12.24,14
Agosto,2015,CL,QO,MANZANILLO,QUERETARO,LOGISTICA TNA,3.5 TON,,Sencillo,25000,3.5,,,12
Agosto,2015,CL,QO,MANZANILLO,QUERETARO,LOGISTICA TNA,RABON,Diesel,Sencillo,18500,10,3.5,12.24,12
Agosto,2015,CL,QO,MANZANILLO,QUERETARO,LOGISTICA TNA,48FT/53FT,Diesel,Sencillo,17000,22,2.65,12.24,14
Agosto,2015,TM,QO,ALTAMIRA,QUERETARO,JC LOGISTICOS,3.5 TON,,Sencillo,12280,3.5,,,12
Agosto,2015,TM,QO,ALTAMIRA,QUERETARO,JC LOGISTICOS,RABON,Diesel,Sencillo,14850,10,3.5,12.24,13
Agosto,2015,TM,QO,ALTAMIRA,QUERETARO,JC LOGISTICOS,48FT/53FT,Diesel,Sencillo,19800,22,2.65,12.24,14
Septiembre,2015,GT,MS,IRAPUATO,CUERNAVACA,LOGISTICA TNA,3.5 TON,,Sencillo,8500,3.5,,,7
Septiembre,2015,GT,AG,GUANAJUATO,AGUASCALIENTES,LOGISTICA TNA,3.5 TON,,Redondo,6200,3.5,,,3
Septiembre,2015,GT,AG,GUANAJUATO,AGUASCALIENTES,CARRIER 1,3.5 TON,,Redondo,6000,3.5,,,3
Septiembre,2015,GT,AG,GUANAJUATO,AGUASCALIENTES,CARRIER 2,3.5 TON,,Redondo,7050,3.5,,,3
Septiembre,2015,GT,JC,GUANAJUATO,GUADALAJARA,LOGISTICA TNA,THORTON,Diesel,Redondo,14395,15,3,12.24,5
Septiembre,2015,GT,JC,GUANAJUATO,GUADALAJARA,CARRIER 1,THORTON,Diesel,Redondo,15500,15,3,12.24,5
Septiembre,2015,GT,JC,GUANAJUATO,GUADALAJARA,CARRIER 2,THORTON,Diesel,Redondo,16050,15,3,12.24,5
Septiembre,2015,GT,MS,GUANAJUATO,CUERNAVACA,LOGISTICA TNA,3.5 TON,,Sencillo,7000,3.5,,,6
Septiembre,2015,GT,YN,GUANAJUATO,MERIDA,LOGISTICA TNA,THORTON,Diesel,Sencillo,39500,15,3,12.24,40
Septiembre,2015,GT,YN,GUANAJUATO,MERIDA,CARRIER 1,THORTON,Diesel,Sencillo,27050,15,3,12.24,40
Septiembre,2015,GT,YN,GUANAJUATO,MERIDA,CARRIER 2,THORTON,Diesel,Sencillo,33500,15,3,12.24,40
Septiembre,2015,DF,JC,CIUDAD DE MEXICO,GUADALAJARA,LOGISTICA TNA,THORTON,Diesel,Sencillo,13200,15,3,12.24,9
Septiembre,2015,DF,JC,CIUDAD DE MEXICO,GUADALAJARA,CARRIER 1,THORTON,Diesel,Sencillo,15100,15,3,12.24,9
Septiembre,2015,EM,JC,TOLUCA,GUADALAJARA,LOGISTICA TNA,3.5 TON,,Sencillo,8500,3.5,,,7
Septiembre,2015,EM,JC,TOLUCA,GUADALAJARA,CARRIER 1,THORTON,Diesel,Redondo,16000,15,3,12.24,8
Septiembre,2015,EM,JC,TOLUCA,GUADALAJARA,CARRIER 2,THORTON,Diesel,Redondo,15500,15,3,12.24,8
Septiembre,2015,EM,JC,TOLUCA,GUADALAJARA,SALVADOR MOYA ARREOLA,THORTON,Diesel,Redondo,16600,15,3,12.24,8
