Mes,A_o,Estado Origen,Estado Destino,Ciudad Origen,Ciudad Destino,Compa_ia Transportadora,Tipo de Transporte,Tipo de combustible usado,Tipo de Movimiento,Costo(Pesos),Carga Maxima(TON),Rendimiento por litro,Costo del diesel,Tiempo en Transito,,
Julio,2015,NL,CO,MONTERREY,RAMOS ARIZPE,TRANSPORTES REISEN,48FT/53FT,Diesel ,Sencillo,3600,22,2.65,12.24,2,,
Julio,2015,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,TRANSPORTES REISEN,3.5 TON,,Sencillo,480,3.5,,,1,,
Julio,2015,CO,QO,RAMOS ARIZPE,QUERETARO,TRANSPORTES REISEN,48FT/53FT,Diesel ,Redondo,17900,22,2.65,12.24,11,,
Julio,2015,NL,CO,MONTERREY,RAMOS ARIZPE,TRANSPORTES REISEN,3.5 TON,,Sencillo,1560,3.5,,,2,,
Julio,2015,NL,CO,MONTERREY,RAMOS ARIZPE,TRANSPORTES REISEN,RABON,Diesel ,Sencillo,2000,10,3.5,12.24,1.5,,
Julio,2015,CO,NL,RAMOS ARIZPE,MONTERREY,TRANSPORTES REISEN,RABON,Diesel ,Sencillo,1400,10,3.5,12.24,1.5,,
Julio,2015,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,TRANSPORTES REISEN,RABON,Diesel ,Sencillo,1400,10,3.5,12.24,1,,
Julio,2015,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,TRANSPORTES REISEN,RABON,Diesel ,Sencillo,1485,10,3.5,12.24,1,,
Julio,2015,NL,CO,MONTERREY,RAMOS ARIZPE,TRANSPORTES REISEN,RABON,Diesel ,Redondo,2800,10,3.5,12.24,1.5,,
Julio,2015,CO,NL,RAMOS ARIZPE,MONTERREY,TRANSPORTES REISEN,RABON,Diesel ,Sencillo,2000,10,3.5,12.24,1.5,,
Julio,2015,NL,CO,MONTERREY,RAMOS ARIZPE,TRANSPORTES REISEN,RABON,Diesel ,Redondo,3840,10,3.5,12.24,1.5,,
Julio,2015,SP,CO,SAN LUIS POTOSI,RAMOS ARIZPE,TRANSPORTES REISEN,3.5 TON,,Sencillo,5520,3.5,,,7,,
Julio,2015,CO,SP,RAMOS ARIZPE,SAN LUIS POTOSI,TRANSPORTES REISEN,RABON,Diesel ,Sencillo,7500,10,3.5,12.24,7.5,,
Julio,2015,SP,CO,SAN LUIS POTOSI,RAMOS ARIZPE,TRANSPORTES REISEN,48FT/53FT,Diesel ,Sencillo,6200,22,2.65,12.24,8,,
Julio,2015,GT,CO,IRAPUATO,RAMOS ARIZPE,TRANSPORTES REISEN,3.5 TON,,Sencillo,8050,3.5,,,9,,
Julio,2015,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,TRANSPORTES REISEN,RABON,Diesel ,Sencillo,480,10,3.5,12.24,1,,
Julio,2015,NL,CO,MONTERREY,RAMOS ARIZPE,TRANSPORTES REISEN,RABON,Diesel ,Sencillo,1560,10,3.5,12.24,1.5,,
Julio,2015,CO,NL,RAMOS ARIZPE,MONTERREY,TRANSPORTES REISEN,3.5 TON,,Sencillo,1400,3.5,,,1,,
Julio,2015,CO,NL,RAMOS ARIZPE,MONTERREY,TRANSPORTES REISEN,RABON,Diesel ,Sencillo,1560,10,3.5,12.24,1.5,,
Julio,2015,CO,NL,RAMOS ARIZPE,MONTERREY,TRANSPORTES REISEN,RABON,Diesel ,Sencillo,2500,10,3.5,12.24,1.5,,
Julio,2015,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,TRANSPORTES REISEN,RABON,Diesel ,Sencillo,990,10,3.5,12.24,1,,
