Mes,A�o,Estado Origen,Estado Destino,Ciudad Origen,Ciudad Destino,Compa�ia Transportadora,Tipo de Transporte,Tipo de combustible usado,Tipo de Movimiento,Costo(Pesos),Carga Maxima(TON),Rendimiento por litro,Costo del diesel,Tiempo en Transito
Septiembre,2014,EM,CO,TENANGO DEL VALLE,RAMOS ARIZPE,TRANSPORTES COLORADO S.A. DE C.V.,48FT/53FT,Diesel,Redondo,16786.93,22,2.65,11.73,19
Septiembre,2014,CO,EM,RAMOS ARIZPE,TOLUCA,TRANSPORTES COLORADO S.A. DE C.V.,48FT/53FT,Diesel,Sencillo,14209.43,22,2.65,11.73,18
Septiembre,2014,CO,EM,RAMOS ARIZPE,TOLUCA,TRANSPORTES COLORADO S.A. DE C.V.,48FT/53FT,Diesel,Redondo,17319.29,22,2.65,11.73,18
Septiembre,2014,NL,GT,APODACA,SILAO,TRANSPORTES COLORADO S.A. DE C.V.,48FT/53FT,Diesel,Redondo,13350,22,2.65,11.73,14
Septiembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,TRANSPORTES COLORADO S.A. DE C.V.,48FT/53FT,Diesel,Redondo,18520.93,22,2.65,11.73,18
Septiembre,2014,SP,JC,SAN LUIS POTOSI,ZAPOPAN,TRANSPORTES COLORADO S.A. DE C.V.,48FT/53FT,Diesel,Redondo,9412.75,22,2.65,11.73,8
Septiembre,2014,CO,SP,RAMOS ARIZPE,SAN LUIS POTOSI,TRANSPORTES COLORADO S.A. DE C.V.,48FT/53FT,Diesel,Sencillo,7769.34,22,2.65,11.73,8
Septiembre,2014,NL,SP,GARCIA,SAN LUIS POTOSI,TRANSPORTES COLORADO S.A. DE C.V.,48FT/53FT,Diesel,Redondo,14057.26,22,2.65,11.73,10
Septiembre,2014,EM,CO,TULTITLAN,RAMOS ARIZPE,TRANSPORTES COLORADO S.A. DE C.V.,48FT/53FT,Diesel,Redondo,16744.81,22,2.65,11.73,22
Septiembre,2014,CO,GT,RAMOS ARIZPE,SILAO,TRANSPORTES COLORADO S.A. DE C.V.,48FT/53FT,Diesel,Redondo,18428.74,22,2.65,11.73,12
Septiembre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,TRANSPORTES COLORADO S.A. DE C.V.,48FT/53FT,Diesel,Redondo,1342.47,22,2.65,11.73,1
Octubre,2014,EM,CO,TENANGO DEL VALLE,RAMOS ARIZPE,TRANSPORTES COLORADO S.A. DE C.V.,48FT/53FT,Diesel,Redondo,16844.53,22,2.65,11.83,19
