Mes,A¤o,Estado Origen,Estado Destino,Ciudad Origen,Ciudad Destino,Compa¤ia Transportadora,Tipo de Transporte,Tipo de combustible usado,Tipo de Movimiento,Costo(Pesos),Carga Maxima(TON),Rendimiento por litro,Costo del diesel,Tiempo en Transito
Agosto,2015,GT,CH,CELAYA,CHIHUAHUA,WP,48FT/53FT,Diesel ,Sencillo,17990,22,2.65,12.24,29
Agosto,2015,GT,NL,CELAYA,MONTERREY,WP,48FT/53FT,Diesel ,Sencillo,9075,22,2.65,12.24,13
Agosto,2015,GT,NL,CELAYA,GUADALUPE,WP,48FT/53FT,Diesel ,Sencillo,8400,22,2.65,12.24,13
Agosto,2015,GT,CH,CELAYA,CIUDAD JUAREZ,WP,48FT/53FT,Diesel ,Sencillo,25608,22,2.65,12.24,36
Agosto,2015,GT,TM,CELAYA,NUEVO LAREDO,WP,48FT/53FT,Diesel ,Sencillo,12267,22,2.65,12.24,18
Agosto,2015,GT,SP,CELAYA,SAN LUIS POTOSI,WP,48FT/53FT,Diesel ,Sencillo,4500,22,2.65,12.24,5
Agosto,2015,GT,GT,CELAYA,CELAYA,WP,48FT/53FT,Diesel ,sencillo,2257,22,2.65,12.24,1
Agosto,2015,GT,GT,CELAYA,CELAYA,WP,48FT/53FT,Diesel ,Sencillo,2257,22,2.65,12.24,1
Agosto,2015,GT,GT,CELAYA,CELAYA,WP,48FT/53FT,Diesel ,Sencillo,1260,22,2.65,12.24,1
Agosto,2015,GT,QO,CELAYA,QUERETARO,WP,48FT/53FT,Diesel ,Sencillo,2302,22,2.65,12.24,2
Agosto,2015,GT,GT,CELAYA,IRAPUATO,WP,48FT/53FT,Diesel ,Sencillo,2051,22,2.65,12.24,2
Agosto,2015,GT,GT,CELAYA,LEON,WP,48FT/53FT,Diesel ,Sencillo,4100,22,2.65,12.24,1
Agosto,2015,GT,QO,CELAYA,QUERETARO,WP,48FT/53FT,Diesel ,Sencillo,2226,22,2.65,12.24,2
Agosto,2015,GT,GT,CELAYA,SALAMANCA,WP,48FT/53FT,Diesel ,Sencillo,1648,22,2.65,12.24,2
Agosto,2015,GT,GT,CELAYA,GUANAJUATO,WP,48FT/53FT,Diesel ,Sencillo,2500,22,2.65,12.24,3
Agosto,2015,GT,DF,CELAYA,CIUDAD DE MEXICO,WP,48FT/53FT,Diesel ,Sencillo,6889,22,2.65,12.24,6
Agosto,2015,GT,EM,CELAYA,TLALNEPANTLA,WP,48FT/53FT,Diesel ,Sencillo,6545,22,2.65,12.24,4
Agosto,2015,GT,EM,CELAYA,TLALNEPANTLA,WP,48FT/53FT,Diesel ,Sencillo,6380,22,2.65,12.24,4
Agosto,2015,GT,EM,CELAYA,TOLUCA,WP,48FT/53FT,Diesel ,Sencillo,6900,22,2.65,12.24,4
Agosto,2015,GT,EM,CELAYA,TLALNEPANTLA,WP,48FT/53FT,Diesel ,Sencillo,6589,22,2.65,12.24,4
Agosto,2015,GT,EM,CELAYA,TOLUCA,WP,48FT/53FT,Diesel ,Sencillo,6325,22,2.65,12.24,4
Agosto,2015,GT,EM,CELAYA,TLALNEPANTLA,WP,48FT/53FT,Diesel ,Sencillo,6545,22,2.65,12.24,4
Agosto,2015,GT,PL,CELAYA,PUEBLA,WP,48FT/53FT,Diesel ,Sencillo,9640,22,2.65,12.24,7
Agosto,2015,GT,PL,CELAYA,PUEBLA,WP,48FT/53FT,Diesel ,Sencillo,9100,22,2.65,12.24,7
Agosto,2015,DF,NL,CIUDAD DE MEXICO,CIENEGA DE FLORES,WP,48FT/53FT,Diesel ,Sencillo,9092,22,2.65,12.24,21
Agosto,2015,DF,VZ,CIUDAD DE MEXICO,VERACRUZ,WP,48FT/53FT,Diesel ,Sencillo,8140,22,2.65,12.24,7
Agosto,2015,DF,NL,CIUDAD DE MEXICO,GARCIA,WP,48FT/53FT,Diesel ,Sencillo,9092,22,2.65,12.24,21
Agosto,2015,DF,NL,CIUDAD DE MEXICO,GUADALUPE,WP,48FT/53FT,Diesel ,Sencillo,9029,22,2.65,12.24,20
Agosto,2015,DF,NL,CIUDAD DE MEXICO,GUADALUPE,WP,48FT/53FT,Diesel ,Sencillo,8760,22,2.65,12.24,20
Agosto,2015,DF,NL,CIUDAD DE MEXICO,MONTERREY,WP,48FT/53FT,Diesel ,Sencillo,8956,22,2.65,12.24,21
