ID RUTA,Mes,Año,Estado Origen,Estado Destino,Ciudad Origen,Ciudad Destino,Compañia Transportadora,Tipo de Transporte,Tipo de combustible usado,Tipo de Movimiento,Costo(Pesos),Carga Maxima(TON),Rendimiento por litro,Costo del diesel,Tiempo en Transito
,Septiembre,2014,EM,CO,TENANGO DEL VALLE,RAMOS ARIZPE,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$16,786.93",22,2.55,$13.61,19
,Septiembre,2014,CO,EM,RAMOS ARIZPE,TOLUCA,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$14,209.43",22,2.55,$13.61,18
,Septiembre,2014,CO,EM,RAMOS ARIZPE,TOLUCA,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$17,319.29",22,2.55,$13.61,18
,Septiembre,2014,NL,GT,APODACA,SILAO,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$13,350.00",22,2.55,$13.61,14
,Septiembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$18,520.93",22,2.55,$13.61,18
,Septiembre,2014,SP,JC,SAN LUIS POTOSI,ZAPOPAN,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$9,412.75",22,2.55,$13.61,8
,Septiembre,2014,CO,SP,RAMOS ARIZPE,SAN LUIS POTOSI,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$7,769.34",22,2.55,$13.61,8
,Septiembre,2014,NL,SP,GARCIA,SAN LUIS POTOSI,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$14,057.26",22,2.55,$13.61,10
,Septiembre,2014,EM,CO,TULTITLAN,RAMOS ARIZPE,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$16,744.81",22,2.55,$13.61,22
,Septiembre,2014,CO,GT,RAMOS ARIZPE,SILAO,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$18,428.74",22,2.55,$13.61,12
,Septiembre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$1,342.47",22,2.55,$13.61,1
,Octubre,2014,EM,CO,TENANGO DEL VALLE,RAMOS ARIZPE,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$16,844.53",22,2.55,$13.72,19
,Octubre,2014,CO,EM,RAMOS ARIZPE,TOLUCA,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$14,237.55",22,2.55,$13.72,18
,Octubre,2014,CO,EM,RAMOS ARIZPE,TOLUCA,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$17,375.54",22,2.55,$13.72,18
,Octubre,2014,NL,GT,APODACA,SILAO,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$13,400.00",22,2.55,$13.72,14
,Octubre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$18,588.66",22,2.55,$13.72,18
,Octubre,2014,SP,JC,SAN LUIS POTOSI,ZAPOPAN,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$9,437.10",22,2.55,$13.72,8
,Octubre,2014,CO,SP,RAMOS ARIZPE,SAN LUIS POTOSI,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$7,785.75",22,2.55,$13.72,8
,Octubre,2014,NL,SP,GARCIA,SAN LUIS POTOSI,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$14,096.93",22,2.55,$13.72,10
,Octubre,2014,EM,CO,TULTITLAN,RAMOS ARIZPE,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$16,800.68",22,2.55,$13.72,22
,Octubre,2014,CO,GT,RAMOS ARIZPE,SILAO,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$18,485.11",22,2.55,$13.72,12
,Octubre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$1,343.56",22,2.55,$13.72,1
,Noviembre,2014,EM,CO,TENANGO DEL VALLE,RAMOS ARIZPE,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$16,908.54",22,2.55,$13.83,19
,Noviembre,2014,CO,EM,RAMOS ARIZPE,TOLUCA,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$14,268.80",22,2.55,$13.83,18
,Noviembre,2014,CO,EM,RAMOS ARIZPE,TOLUCA,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$17,438.05",22,2.55,$13.83,18
,Noviembre,2014,NL,GT,APODACA,SILAO,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$13,546.00",22,2.55,$13.83,14
,Noviembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$18,663.92",22,2.55,$13.83,18
,Noviembre,2014,SP,JC,SAN LUIS POTOSI,ZAPOPAN,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$9,464.15",22,2.55,$13.83,8
,Noviembre,2014,CO,SP,RAMOS ARIZPE,SAN LUIS POTOSI,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$7,803.99",22,2.55,$13.83,8
,Noviembre,2014,NL,SP,GARCIA,SAN LUIS POTOSI,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$14,141.00",22,2.55,$13.83,10
,Noviembre,2014,EM,CO,TULTITLAN,RAMOS ARIZPE,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$16,862.76",22,2.55,$13.83,22
,Noviembre,2014,CO,GT,RAMOS ARIZPE,SILAO,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$18,547.76",22,2.55,$13.83,12
,Noviembre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$1,344.78",22,2.55,$13.83,1
,Diciembre,2014,EM,CO,TENANGO DEL VALLE,RAMOS ARIZPE,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$16,908.54",22,2.55,$13.94,19
,Diciembre,2014,CO,EM,RAMOS ARIZPE,TOLUCA,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$14,268.80",22,2.55,$13.94,18
,Diciembre,2014,CO,EM,RAMOS ARIZPE,TOLUCA,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$17,438.05",22,2.55,$13.94,18
,Diciembre,2014,NL,GT,APODACA,SILAO,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$13,546.00",22,2.55,$13.94,14
,Diciembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$18,663.92",22,2.55,$13.94,18
