Mes,A¤o,Estado Origen,Estado Destino,Ciudad Origen,Ciudad Destino,Compa¤ia Transportadora,Tipo de Transporte,Tipo de combustible usado,Tipo de Movimiento,Costo(Pesos),Carga Maxima(TON),Rendimiento por litro,Costo del diesel,Tiempo en Transito
Septiembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,18000,22,2.55,13.61,18
Septiembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,19000,22,2.55,13.61,18
Septiembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,20000,22,2.55,13.61,20
Septiembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,17560,22,2.55,13.61,18
Septiembre,2014,QO,CO,QUERETARO,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,12000,22,2.55,13.61,12
Septiembre,2014,QO,CO,QUERETARO,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,14000,22,2.55,13.61,12
Septiembre,2014,SP,CO,SAN LUIS POTOSI,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,8000,22,2.55,13.61,8
Septiembre,2014,CO,CO,TORREON,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,7030,22,2.55,13.61,5
Septiembre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,1000,22,2.55,13.61,1
Septiembre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,1500,22,2.55,13.61,1
Septiembre,2014,CO,CO,SALTILLO,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,2600,22,2.55,13.61,1.5
Septiembre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,3800,22,2.55,13.61,1
Septiembre,2014,PL,GT,PUEBLA,SILAO,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,11450,22,2.55,13.61,8
Septiembre,2014,PL,GT,PUEBLA,SILAO,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,12500,22,2.55,13.61,8
Septiembre,2014,GT,SP,SILAO,SAN LUIS POTOSI,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,5300,22,2.55,13.61,4
Septiembre,2014,QO,GT,QUERETARO,SILAO,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,5000,22,2.55,13.61,4
Septiembre,2014,CO,GT,RAMOS ARIZPE,SILAO,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,13050,22,2.55,13.61,12
Septiembre,2014,CO,GT,RAMOS ARIZPE,SILAO,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,11500,22,2.55,13.61,12
Octubre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,19000,22,2.55,13.72,18
Octubre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,20000,22,2.55,13.72,18
Octubre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,18000,22,2.55,13.72,18
Octubre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,17560,22,2.55,13.72,18
Octubre,2014,QO,CO,QUERETARO,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,12000,22,2.55,13.72,12
Octubre,2014,QO,CO,QUERETARO,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,14000,22,2.55,13.72,12
Octubre,2014,SP,CO,SAN LUIS POTOSI,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,8000,22,2.55,13.72,8
Octubre,2014,CO,CO,TORREON,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,7030,22,2.55,13.72,5
Octubre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,1000,22,2.55,13.72,1
Octubre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,1500,22,2.55,13.72,1
Octubre,2014,CO,CO,SALTILLO,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,2600,22,2.55,13.72,1.5
Octubre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,3800,22,2.55,13.72,1
Octubre,2014,PL,GT,PUEBLA,SILAO,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,11450,22,2.55,13.72,8
Octubre,2014,PL,GT,PUEBLA,SILAO,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,12500,22,2.55,13.72,8
Octubre,2014,GT,SP,SILAO,SAN LUIS POTOSI,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,5300,22,2.55,13.72,4
Octubre,2014,QO,GT,QUERETARO,SILAO,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,5000,22,2.55,13.72,4
Octubre,2014,CO,GT,RAMOS ARIZPE,SILAO,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,13050,22,2.55,13.72,12
Octubre,2014,CO,GT,RAMOS ARIZPE,SILAO,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,11500,22,2.55,13.72,12
Noviembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,19000,22,2.55,13.83,18
Noviembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,20000,22,2.55,13.83,20
Noviembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,18000,22,2.55,13.83,18
Noviembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,17560,22,2.55,13.83,18
Noviembre,2014,QO,CO,QUERETARO,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,12000,22,2.55,13.83,12
Noviembre,2014,QO,CO,QUERETARO,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,14000,22,2.55,13.83,12
Noviembre,2014,SP,CO,SAN LUIS POTOSI,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,8000,22,2.55,13.83,8
Noviembre,2014,CO,CO,TORREON,RAMOS ARIZPE,AUTOTRANSPORTES DASA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,7030,22,2.55,13.83,5
